City Name,City Number,City Country,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Datetime
Tauá,3386568,BR,-5.9667,-40.3,79.9,60,71,5.59,1613255606
Ushuaia,3833367,AR,-54.8,-68.3,44.6,81,75,0.56,1613255218
Hithadhoo,1282256,MV,-0.6,73.0833,82.26,76,36,11.1,1613255269
Cherskiy,2126199,RU,68.75,161.3,-10.59,82,31,10.96,1613255270
Almaznyy,582447,RU,48.0448,40.045,17.6,57,20,20.13,1613255610
Puerto Ayora,3652764,EC,-0.7393,-90.3518,86.0,66,75,13.8,1613255208
Hermanus,3366880,ZA,-34.4187,19.2345,68.0,89,0,6.29,1613255225
Punta Arenas,3874787,CL,-53.15,-70.9167,53.6,43,0,13.8,1613255209
Tuktoyaktuk,6170031,CA,69.4541,-133.0374,-7.6,77,75,8.05,1613255255
Rikitea,4030556,PF,-23.1203,-134.9692,80.06,74,56,9.57,1613255242
Vardø,777019,NO,70.3705,31.1107,26.92,95,100,16.64,1613255253
Enumclaw,5793822,US,47.2043,-121.9915,32.0,89,100,1.01,1613255620
Port Elizabeth,964420,ZA,-33.918,25.5701,73.4,94,75,8.05,1613255249
Bluff,2206939,NZ,-46.6,168.3333,66.0,64,100,7.0,1613255224
Olafsvik,3414079,IS,64.8945,-23.7142,39.74,71,100,25.66,1613255221
Lukulu,909488,ZM,-14.3707,23.242,64.78,90,46,1.05,1613255626
São José da Coroa Grande,3388456,BR,-8.8978,-35.1478,78.82,81,39,10.27,1613255628
Hualmay,3939761,PE,-11.0964,-77.6139,77.04,62,84,11.65,1613255336
Nanyang,1799629,CN,32.9947,112.5328,49.86,92,76,2.66,1613255630
Bac Lieu,1591474,VN,9.285,105.7244,72.18,83,75,9.13,1613255631
Bredasdorp,1015776,ZA,-34.5322,20.0403,66.2,88,10,3.44,1613255233
Goderich,5962442,CA,43.7501,-81.7165,14.0,85,100,8.05,1613255407
Lagoa,3372964,PT,39.05,-27.9833,56.98,65,42,30.96,1613255635
Ahipara,2194098,NZ,-35.1667,173.1667,72.41,75,99,8.77,1613255637
Albany,5106841,US,42.6001,-73.9662,21.0,33,69,3.96,1613255218
Butaritari,2110227,KI,3.0707,172.7902,81.09,79,32,11.39,1613255224
Oodweyne,53372,SO,9.4092,45.064,66.16,26,46,8.75,1613255641
Te Anau,2181625,NZ,-45.4167,167.7167,55.67,83,100,0.78,1613255643
Esperance,2071860,AU,-33.8667,121.9,59.0,94,38,8.05,1613255254
Faanui,4034551,PF,-16.4833,-151.75,81.75,68,2,6.29,1613255225
Sisimiut,3419842,GL,66.9395,-53.6735,4.57,92,99,7.25,1613255230
Saskylakh,2017155,RU,71.9167,114.0833,-27.11,78,96,3.38,1613255265
Oranjemund,3354071,NA,-28.55,16.4333,64.63,90,50,5.93,1613255649
Dingle,1714733,PH,10.9995,122.6711,74.97,91,100,6.73,1613255209
Jamestown,5122534,US,42.097,-79.2353,24.01,79,90,9.22,1613255110
Hobart,2163355,AU,-42.8794,147.3294,62.01,72,20,5.75,1613255225
Benghazi,88319,LY,32.1167,20.0667,59.23,60,0,12.06,1613255653
Kapaa,5848280,US,22.0752,-159.319,78.8,65,40,10.36,1613255211
Mahébourg,934322,MU,-20.4081,57.7,77.0,94,75,4.61,1613255260
Upernavik,3418910,GL,72.7868,-56.1549,3.67,92,91,2.82,1613255259
São Filipe,3374210,CV,14.8961,-24.4956,71.82,70,0,13.38,1613255659
Karpathos,260895,GR,35.507,27.2132,59.0,72,34,8.05,1613255276
Saint George,5546220,US,37.1041,-113.5841,48.99,76,90,17.56,1613255298
Rensvik,3142061,NO,63.1,7.8167,24.8,63,5,2.3,1613255474
Yellowknife,6185377,CA,62.456,-114.3525,-5.01,77,20,13.8,1613255233
Ponta do Sol,2264557,PT,32.6667,-17.1,55.0,74,0,3.0,1613255278
Singkang,1732871,MY,2.1006,102.7994,75.2,88,20,4.61,1613255665
Laguna,5364271,US,38.421,-121.4238,66.99,34,1,9.22,1613255666
Mount Isa,2065594,AU,-20.7333,139.5,77.0,100,90,9.22,1613255306
Guymon,5515743,US,36.6828,-101.4816,10.4,72,90,9.22,1613255448
Bengkulu,1649150,ID,-3.8004,102.2655,77.11,84,100,5.01,1613255221
Hong Kong,1819729,HK,22.2855,114.1577,64.0,87,16,7.07,1613255036
Chanika,160592,TZ,-5.4167,38.0167,69.78,97,94,1.92,1613255672
Ostrovnoy,556268,RU,68.0531,39.5131,-6.07,91,24,4.85,1613255239
Matadi,2313002,CD,-5.8167,13.45,76.55,85,99,1.99,1613255674
Grand Gaube,934479,MU,-20.0064,57.6608,75.99,80,0,5.99,1613255253
Koumac,2140558,NC,-20.5667,164.2833,82.94,63,3,1.59,1613255676
East London,1006984,ZA,-33.0153,27.9116,76.95,87,99,2.19,1613255240
Kruisfontein,986717,ZA,-34.0033,24.7314,73.99,94,100,3.0,1613255284
Teknāf,1185095,BD,20.8624,92.3058,62.62,73,0,7.52,1613255679
Aklavik,5882953,CA,68.2191,-135.0107,-11.2,77,20,1.14,1613255274
Petropavlovsk-Kamchatskiy,2122104,RU,53.0452,158.6483,-2.2,78,88,8.95,1613255242
Talnakh,1490256,RU,69.4865,88.3972,-24.59,85,100,1.14,1613255218
Vaini,4032243,TO,-21.2,-175.2,84.2,79,40,10.36,1613255210
Mataura,6201424,NZ,-46.1927,168.8643,66.0,64,100,7.0,1613255230
Batouri,2234663,CM,4.4333,14.3667,73.51,23,65,2.19,1613255228
Port Alfred,964432,ZA,-33.5906,26.891,75.99,91,90,10.94,1613255207
La Ronge,6050066,CA,55.1001,-105.2842,-7.6,59,77,4.61,1613255230
Corinth,259289,GR,37.9407,22.9573,48.0,67,100,8.99,1613255519
Busselton,2075265,AU,-33.65,115.3333,59.0,84,0,1.01,1613255210
Guerrero Negro,4021858,MX,27.9769,-114.0611,62.22,62,89,14.23,1613255282
Longyearbyen,2729907,SJ,78.2186,15.6401,8.6,56,75,11.5,1613255104
Lebu,3883457,CL,-37.6167,-73.65,59.25,75,4,17.72,1613255257
Metu,330764,ET,8.3,35.5833,60.96,43,17,3.27,1613255695
Barrow,5880054,US,71.2906,-156.7887,-7.6,77,90,13.8,1613255055
Opelousas,4336153,US,30.5335,-92.0815,37.99,75,90,12.66,1613255652
Maningrida,2067089,AU,-12.0667,134.2667,80.96,81,59,6.31,1613255691
Severo-Kuril'sk,2121385,RU,50.6789,156.125,25.32,93,91,8.9,1613255234
Avarua,4035715,CK,-21.2078,-159.775,84.2,74,40,6.91,1613255229
Kutum,371745,SD,14.2,24.6667,59.09,31,0,7.56,1613255705
Carnarvon,2074865,AU,-24.8667,113.6333,75.2,100,9,9.22,1613255227
Chokurdakh,2126123,RU,70.6333,147.9167,-21.86,77,0,1.14,1613255293
Pangnirtung,6096551,CA,66.1451,-65.7125,-22.4,79,77,1.5,1613255711
Srednekolymsk,2121025,RU,67.45,153.6833,-19.57,87,96,7.43,1613255712
Faya,110690,SA,18.3851,42.4509,59.0,82,0,1.74,1613255713
Bela Vista,3470177,BR,-22.1089,-56.5211,75.0,83,7,0.87,1613255421
Samarai,2132606,PG,-10.6167,150.6667,83.52,70,93,4.99,1613255715
Xuchang,1788046,CN,34.0167,113.8167,44.6,93,43,4.47,1613255716
Shihezi,1529195,CN,44.3,86.0333,9.68,96,74,0.81,1613255717
Wenling,1791464,CN,28.3669,121.36,57.0,92,58,2.75,1613255719
Beringovskiy,2126710,RU,63.05,179.3167,5.72,94,100,16.35,1613255223
Hilo,5855927,US,19.7297,-155.09,75.2,73,90,3.44,1613255686
Klaksvík,2618795,FO,62.2266,-6.589,37.4,81,75,35.68,1613255208
Ribeira Grande,3372707,PT,38.5167,-28.7,57.2,67,40,32.21,1613255237
Yar-Sale,1486321,RU,66.8333,70.8333,-28.26,86,41,2.57,1613255250
Lata,2738381,PT,40.1629,-8.3327,55.0,91,51,2.24,1613255725
Orlik,1496073,RU,52.5178,99.825,-10.23,80,100,2.98,1613255726
Whitehorse,6180550,CA,60.7161,-135.0538,-14.8,70,1,1.23,1613255480
Pampa,5527953,US,35.5362,-100.9599,14.0,79,90,9.4,1613255728
Nanortalik,3421765,GL,60.1432,-45.2371,33.37,90,100,3.49,1613255314
Khatanga,2022572,RU,71.9667,102.5,-31.49,84,14,8.23,1613255266
Nkhata Bay,924732,MW,-11.6066,34.2907,77.29,72,100,8.63,1613255732
Gaza,281133,PS,31.5,34.4667,55.99,87,0,3.44,1613255733
Praia da Vitória,3372760,PT,38.7333,-27.0667,55.99,88,75,24.83,1613255734
Geraldton,2070998,AU,-28.7667,114.6,71.6,88,90,6.91,1613255278
Maniitsoq,3421982,GL,65.4167,-52.9,8.83,92,64,15.52,1613255736
New Norfolk,2155415,AU,-42.7826,147.0587,62.01,78,5,1.01,1613255211
Mar del Plata,3430863,AR,-38.0023,-57.5575,70.0,88,90,10.36,1613254965
Lapa,3458826,BR,-25.7697,-49.7158,73.99,78,40,6.91,1613255309
Bambous Virieux,1106677,MU,-20.3428,57.7575,77.0,94,75,4.61,1613255251
Bethel,5282297,US,41.3712,-73.414,27.0,40,100,5.06,1613255053
Russell,4047434,US,32.3502,-85.1999,50.0,81,90,5.75,1613255683
Port Augusta,2063056,AU,-32.5,137.7667,68.0,64,0,12.66,1613255294
Fortuna,5563839,US,40.5982,-124.1573,53.01,87,90,9.22,1613255745
Wukari,2318921,NG,7.85,9.7833,78.48,16,2,1.74,1613255747
Turukhansk,1488903,RU,65.8167,87.9833,-32.19,78,0,7.52,1613255751
Grande Prairie,5964347,CA,55.1667,-118.8027,-2.2,84,20,11.5,1613255752
Lakhīmpur,1265242,IN,27.95,80.7667,57.38,54,13,2.86,1613255753
Mossamedes,3347019,AO,-15.1961,12.1522,75.13,72,70,6.62,1613255277
Waipawa,2206874,NZ,-41.4122,175.5153,66.2,68,20,24.16,1613255755
Vanimo,2084442,PG,-2.6741,141.3028,77.92,85,98,4.34,1613255237
Thompson,6165406,CA,55.7435,-97.8558,-11.2,64,40,9.22,1613255185
Broome,5110365,US,42.2506,-75.833,28.99,36,90,3.44,1613255284
Bacolod City,1729564,PH,10.6667,122.95,78.08,86,100,8.37,1613255759
Båtsfjord,780717,NO,70.6345,29.7185,23.36,87,88,12.26,1613255761
Ondangwa,3354247,NA,-17.9167,15.95,73.4,78,98,4.61,1613255762
Ust-Kuyga,2013921,RU,70.0167,135.6,-16.71,86,84,2.44,1613255763
Iqaluit,5983720,CA,63.7506,-68.5145,-5.8,65,40,8.05,1613255219
Saint-Philippe,935215,RE,-21.3585,55.7679,78.8,73,0,12.66,1613255257
Rome,5134295,US,43.2128,-75.4557,23.0,42,90,5.75,1613255766
Morgan Hill,5374764,US,37.1305,-121.6544,61.0,55,1,12.66,1613255767
Provideniya,4031574,RU,64.3833,-173.3,9.68,91,100,18.95,1613255235
Grand-Santi,3381538,GF,4.25,-54.3833,74.5,95,28,4.43,1613255770
Mount Gambier,2156643,AU,-37.8333,140.7667,60.8,67,90,10.36,1613255302
Namatanai,2090021,PG,-3.6667,152.4333,81.82,79,100,3.29,1613255264
Bandar-e Lengeh,141665,IR,26.5579,54.8807,64.4,82,0,4.61,1613255263
Cape Town,3369157,ZA,-33.9258,18.4232,69.01,94,20,5.75,1613255200
Kunduz,1135689,AF,36.729,68.857,52.0,50,0,2.13,1613255776
Kahului,5847411,US,20.8947,-156.47,78.8,61,40,21.85,1613255724
Darnah,87205,LY,32.767,22.6367,57.07,70,0,5.64,1613255778
Ponta Grossa,3453186,BR,-25.095,-50.1619,64.92,91,23,4.25,1613255779
Rocha,3440777,UY,-34.4833,-54.3333,72.34,90,41,6.04,1613255228
Lunéville,2997110,FR,48.6,6.5,23.0,58,0,11.5,1613255752
Mogadishu,53654,SO,2.0371,45.3438,75.42,84,67,19.71,1613255555
Brae,2654970,GB,60.3964,-1.353,39.2,65,90,34.52,1613255299
Port Hardy,6111862,CA,50.6996,-127.4199,33.8,93,90,12.66,1613255785
Halifax,6324729,CA,44.6453,-63.5724,24.8,63,99,5.75,1613255514
San Patricio,4726521,US,28.017,-97.5169,33.8,93,90,14.97,1613255787
High Prairie,5975034,CA,55.4334,-116.4858,3.2,60,0,9.22,1613255788
Atuona,4020109,PF,-9.8,-139.0333,79.12,79,8,16.8,1613255208
Binga,895057,ZW,-17.6203,27.3414,72.19,89,89,2.35,1613255790
Havre-St-Pierre,5972291,CA,50.2334,-63.5986,14.0,52,1,9.22,1613255791
Castro,3466704,BR,-24.7911,-50.0119,66.63,88,45,3.22,1613255221
Clyde River,5924351,CA,70.4692,-68.5914,1.4,92,100,21.85,1613255251
Darhan,2031964,MN,49.4867,105.9228,-12.23,86,35,4.23,1613255797
Great Falls,5655240,US,47.5002,-111.3008,-5.01,71,40,6.91,1613255718
Tasiilaq,3424607,GL,65.6145,-37.6368,32.74,93,100,30.69,1613255229
Hambantota,1244926,LK,6.1241,81.1185,75.9,87,80,5.1,1613255800
Saldanha,3361934,ZA,-33.0117,17.9442,66.2,82,0,2.3,1613255237
Haines Junction,5969025,CA,60.7522,-137.5108,1.4,46,0,2.3,1613255804
Puerto Quijarro,3444201,BO,-17.7833,-57.7667,76.32,92,61,2.84,1613255805
Cardston,5916821,CA,49.2,-113.3019,-2.2,55,100,2.3,1613255806
Tiksi,2015306,RU,71.6872,128.8694,-14.04,90,100,8.05,1613255226
Kloulklubed,7671223,PW,7.0419,134.2556,77.0,94,75,9.51,1613255248
Saint Paul Harbor,5866583,US,57.79,-152.4072,36.68,81,100,26.69,1613255222
Acaraú,3408368,BR,-2.8856,-40.12,81.07,79,42,14.76,1613255272
George Town,1735106,MY,5.4112,100.3354,80.01,73,20,2.3,1613254979
Katsuura,2112309,JP,35.1333,140.3,54.0,66,75,5.75,1613255288
Santa Isabel,3450188,BR,-23.3156,-46.2214,70.0,94,20,4.61,1613255813
Meulaboh,1214488,ID,4.1363,96.1285,76.71,84,5,4.36,1613255716
Sault Ste. Marie,6141439,CA,46.5168,-84.3333,8.6,72,90,4.61,1613255578
Luau,876177,AO,-10.7073,22.2247,65.62,95,94,1.03,1613255300
Ndjolé,2397674,GA,-0.1783,10.7649,77.04,89,100,2.57,1613255818
Fairbanks,5861897,US,64.8378,-147.7164,3.0,77,1,0.6,1613255236
Tornio,634093,FI,65.8481,24.1466,-4.0,84,0,1.14,1613255820
Qaanaaq,3831208,GL,77.484,-69.3632,5.72,76,0,6.51,1613255239
Hyères,6451497,FR,43.1167,6.1167,44.6,57,90,19.57,1613255823
Los Llanos de Aridane,2514651,ES,28.6585,-17.9182,64.4,68,75,10.36,1613255291
Gazalkent,1513996,UZ,41.5581,69.7708,42.8,75,0,4.61,1613255826
Capreol,5959803,CA,46.706,-80.9225,6.01,51,90,12.66,1613255827
Kununurra,2068110,AU,-15.7667,128.7333,77.0,100,90,4.61,1613255283
Cayenne,3382160,GF,4.9333,-52.3333,80.6,78,75,12.66,1613255318
Dikson,1507390,RU,73.5069,80.5464,-22.31,87,100,12.08,1613255256
Podporozh'ye,508034,RU,60.9112,34.1706,-3.05,89,99,4.68,1613255831
Waddān,2209055,LY,29.1614,16.139,59.9,34,0,3.2,1613255832
Ihosy,1064275,MG,-22.4,46.1167,66.65,91,100,8.39,1613255834
Jerantut,1732602,MY,3.936,102.3626,71.78,93,99,0.31,1613255835
Lompoc,5367788,US,34.6391,-120.4579,57.2,77,90,16.11,1613255692
Slave Lake,6149374,CA,55.2834,-114.769,3.2,55,1,10.36,1613255838
Vao,2137773,NC,-22.6667,167.4833,78.75,77,0,6.13,1613255314
Talcahuano,3870282,CL,-36.7167,-73.1167,69.8,56,0,14.97,1613255115
Dongsheng,1812256,CN,39.8161,109.9776,26.94,83,20,9.84,1613255842
Pingzhuang,2035453,CN,42.0372,119.2889,12.47,92,100,9.95,1613255843
Kaitangata,2208248,NZ,-46.2817,169.8464,64.4,54,100,0.78,1613255268
Verkhnevilyuysk,2013639,RU,63.4453,120.3167,-17.09,87,100,7.36,1613255845
Chui,3443061,UY,-33.6971,-53.4616,70.81,91,16,7.29,1613255581
Cockburn Town,3576994,TC,21.4612,-71.1419,78.8,69,40,16.11,1613255848
Laramie,5830062,US,41.3114,-105.5911,1.4,85,90,16.11,1613255849
Ati,2436400,TD,13.2154,18.3353,75.51,18,0,9.17,1613255715
Yangi Marg`ilon,1513491,UZ,40.4272,71.7189,44.6,61,25,1.32,1613255307
Morant Bay,3489440,JM,17.8815,-76.4093,82.4,69,20,23.02,1613255852
Salem,1257629,IN,11.65,78.1667,65.17,82,11,2.55,1613255853
Progreso,3521108,MX,21.2833,-89.6667,82.4,69,75,4.61,1613255854
Hasaki,2112802,JP,35.7333,140.8333,44.6,87,75,1.14,1613255855
Berlevåg,780687,NO,70.8578,29.0864,25.92,85,98,16.91,1613255307
Riyadh,108410,SA,24.6877,46.7219,60.8,39,0,4.61,1613255826
Tuatapere,2180815,NZ,-46.1333,167.6833,66.0,65,100,7.0,1613255859
Yuci,1785974,CN,37.6803,112.7319,26.6,86,0,2.24,1613255860
Beyneu,610298,KZ,45.3167,55.2,38.3,89,20,18.43,1613255861
